Yab,T,X
[58.4299143],[0],"[0.84794737 1.66487315 1.61405017 1.61428459 1.84979225 1.15225104
 0.81008432 1.13457198 1.12850554 1.12990986]"
[16.55184218],[0],"[-0.20385543 -0.1866676   0.38965137  0.38954517  0.11410449  0.80607621
  0.21535392  0.451884   -0.02445272  0.50530793]"
[-9.75711869],[1],"[ 0.03160413  0.59932485  0.06180735  1.31794335  0.00807656 -0.60092538
 -1.80067284 -0.44905714 -0.39784547  0.05705993]"
[-4.29585672],[0],"[-0.07104225 -0.3877313  -0.52035972 -0.00364819  0.36200119  0.13722055
  1.43331537 -0.79688448  0.05190109 -0.33768656]"
[-26.37419456],[1],"[-0.22539968 -0.8169449  -1.13789003 -0.69352374 -1.0357413  -0.70261332
 -0.09817746 -0.39770189 -1.23077089 -0.46420315]"
[44.34017115],[1],"[1.82726723 1.73000231 0.91178825 1.42753776 0.78200944 1.03940765
 0.91320813 1.02185894 1.17538873 0.85923493]"
[-43.05323284],[0],"[-0.44690902 -1.35818651 -1.89665456 -1.00574844 -0.28613934 -0.74142279
 -1.61401578 -0.04501132 -0.63113653 -0.88068597]"
[-0.60400588],[1],"[-0.14472744  1.03796006  0.43694502  1.29948787  0.09419811 -0.51757313
 -1.14761645 -0.25343739  0.2923303   0.11254522]"
[1.00301986],[0],"[ 0.90621664  0.75632808 -0.30095874  0.71721235 -0.90428926  0.44230141
  0.18010107  0.86116797  0.52187565  0.61898104]"
[13.56858426],[0],"[ 1.85566407 -1.48271589  0.95794586  1.4211205  -0.31997555  0.33654051
 -0.31346456  0.75382122  0.38505007  0.53502564]"
[47.6207471],[0],"[ 1.86615812 -0.19201619  1.48775015  2.17061847  0.31378551  0.8892097
  1.94995707  0.94261634  1.39519832  1.28879403]"
[47.23418822],[0],"[ 1.22528511 -0.11995077  0.3867103   1.44983988  2.46168561  1.15854974
  1.90348509 -0.12601152  0.18772343  0.714778  ]"
[14.66061046],[1],"[-0.60598343  0.16064922  0.3558187   0.86812046  0.78675434  0.91600673
 -0.30830707  0.50533846  0.05614256 -0.02744006]"
[-77.37583889],[0],"[-1.57725418 -1.83825959 -1.55559097 -1.50500176 -1.70051397 -1.45804715
 -1.66963183 -1.93269521 -1.82997019 -1.92689096]"
[-58.8034848],[1],"[-2.08838017 -1.48391663 -1.64843518 -1.22011511 -0.95641478 -0.33232368
 -1.77123249 -0.80983398 -0.76741829 -1.74914961]"
[10.77355359],[1],"[-0.77049237  2.56053406  0.29342612 -1.1936824  -0.45680662  0.50762196
 -0.84045365  1.03054852  1.60060819  0.47741477]"
[17.43063612],[1],"[-0.96738384 -0.90396904 -0.39351255  0.57534636  1.0952132  -0.40082932
  1.13920541 -0.22489493  0.41033621  0.4702195 ]"
[8.90650954],[1],"[ 0.60082449  0.01257933 -0.42929758  1.2468119  -0.1043617   0.07571742
  1.58772988  0.33208811 -0.02320148  0.10684018]"
[29.45472619],[0],"[1.21813418 0.94147689 1.21903084 0.83390515 0.20362397 0.55679932
 0.61349891 0.28449452 0.89594769 0.85805406]"
[5.21635437],[1],"[-0.38304715 -1.29937004  0.47631585  0.0253033  -0.01010001  0.15863481
 -0.82159737 -0.25724074  0.57560383  0.25148835]"
[-31.34970701],[0],"[ 0.09344097 -1.1820967  -2.05464134  0.25971308  0.0649463  -0.10316536
 -0.10287255 -0.7981217   0.66198121 -0.21720228]"
[13.01398215],[0],"[ 1.09258042  0.352009    0.35664029  0.34212955 -0.85518007  0.02774431
  0.78226763  1.29467675 -0.34204295  0.46663183]"
[22.99955191],[0],"[ 0.8959358  -0.73798872  1.7989685   0.61001029 -0.18793794  0.39469687
  0.53997205  0.06333721  0.84007285  0.29533139]"
[-54.14147805],[0],"[-2.28318593 -0.86595696 -0.67118794 -0.97271276 -1.08580371 -1.86185038
 -1.56361689 -1.90292536 -2.02968431 -1.12242807]"
[13.22628748],[0],"[-0.55404641  0.41278874  0.27294618 -0.31538726  1.33104534 -0.40048248
  0.20022189 -0.24648111  0.36613969 -0.04322814]"
